step,train_loss,val_loss,val_perplexity,lr,accumulated_time,train_tokens_per_sec,peak_vram_gb
500,9.529337038516998,7.760092163085938,2345.120728879702,3.75e-05,132.11947058301303,124008.97405735245,14.825024604797363
1000,7.293135150432587,6.905869547526041,998.1160454183884,7.5e-05,264.1665236550034,124076.98330887892,14.825024604797363
1500,6.629293798446655,6.338912963867188,566.1805180666087,0.0001125,396.9603802069905,123379.20160926924,14.825024604797363
2000,6.182119847774506,5.962490844726562,388.5768042968687,0.00015,530.1869316049851,122978.4891080399,14.825024604797363
2500,5.842841953277588,5.631455485026041,279.0680014798573,0.0001874999999999,663.6015903539956,122805.09618379192,14.825024604797363
3000,5.553505638599396,5.355550638834635,211.7805588526475,0.000225,796.1263903579966,123629.69043911296,14.825024604797363
3500,5.30952872467041,5.130384318033854,169.08208685492485,0.0002625,928.437180606008,123829.658709534,14.825024604797363
4000,5.109293514728546,4.958832804361979,142.42745813364928,0.0002999999999999,1060.2678077920282,124280.68006443822,14.825024604797363
4500,4.943159773349762,4.808662923177083,122.5676255753878,0.0002997536998201,1192.2742310670146,124115.1725311882,14.825024604797363
5000,4.8137378697395325,4.70098876953125,110.05593862977108,0.0002990156980032,1324.0527526670194,124329.82098350851,14.825024604797363
5500,4.727525636196137,4.612809244791666,100.76683108518752,0.0002977886874378,1455.9107492780313,124254.88344354017,14.825024604797363
6000,4.635792306661606,4.53353525797526,93.087066859145,0.0002960771453525,1587.750705514045,124271.88591196234,14.825024604797363
6500,4.580078217029572,4.470950317382813,87.43977908438953,0.0002938873169786,1719.974789060041,123910.8607192621,14.825024604797363
7000,4.519433164834976,4.418158976236979,82.94344385796707,0.0002912271927625,1851.9685759850545,124127.05462650197,14.825024604797363
7500,4.455864758014679,4.368602498372396,78.93324524620218,0.0002881064792089,1983.52041052506,124544.06323780764,14.825024604797363
8000,4.414819000959397,4.326372782389323,75.66931910040799,0.0002845365634631,2115.5954994740605,124050.64520779136,14.825024604797363
8500,4.39457468867302,4.280626424153646,72.28570734061118,0.0002805304717606,2247.6313680880703,124087.49358779586,14.825024604797363
9000,4.351090006113052,4.251891072591146,70.23811220345239,0.0002761028218956,2379.5349129650567,124211.97637470442,14.825024604797363
9500,4.315500254154205,4.214790598551432,67.67999209859494,0.0002712697698822,2511.8928684170533,123785.53252843296,14.825024604797363
10000,4.267115232467652,4.185359191894531,65.71710172814672,0.000266048951003,2645.392389042041,122727.03245148076,14.825024604797363
10500,4.250375695943832,4.157090759277343,63.885393994962655,0.0002604594154601,2778.474569394049,123111.89940428968,14.825024604797363
11000,4.2289137334823605,4.129012552897136,62.11655582826885,0.0002545215588625,2912.158143687062,122558.06359642177,14.825024604797363
11500,4.199957407474518,4.106254577636719,60.71887332348921,0.0002482570478048533,3045.8316483700764,122567.29588149917,14.828217029571533
12000,4.170331934452057,4.083353678385417,59.34415771508984,0.00024168874080870599,3179.71540170809,122374.81838917098,14.828217029571533
12500,4.155733230829239,4.058877563476562,57.90927510098966,0.00023484060491398362,3314.7306976541004,121349.21369614021,14.828217029571533
13000,4.141658375501633,4.041869099934896,56.932656243376236,0.0002277376282259087,3448.5340087410877,122448.389855977,14.828217029571533
13500,4.117818785429001,4.025743103027343,56.021923378622915,0.00022040572873612216,3582.263139038085,122516.31311452501,14.828217029571533
14000,4.092936692476273,4.006534830729167,54.95610802532737,0.00021287165975074227,3716.17079185709,122352.97725773179,14.828217029571533
14500,4.074212254285812,3.9884109497070312,53.96906163589527,0.00020516291227045238,3850.8924726401165,121613.68463318804,14.828217029571533
15000,4.065970254182815,3.976457977294922,53.327810991479744,0.00019730761467882027,3984.6926895261277,122451.2215399327,14.828217029571533
15500,4.045388340234757,3.959662373860677,52.43961797416546,0.00018933443010487726,4119.971927831124,121112.45010901924,14.828217029571533
16000,4.035437347173691,3.949135335286458,51.89047956476041,0.00018127245183446856,4254.003451371129,122239.8997435093,14.828217029571533
16500,4.034297965764999,3.937236531575521,51.276703774371626,0.0001731510971520086,4388.755807555135,121586.00015592619,14.828217029571533
17000,4.002998128652573,3.925030008951823,50.654598127425494,0.00016499999999999997,4523.969209989125,121171.42017780739,14.828217029571533
17500,3.9867617318630217,3.9126968383789062,50.0337030013592,0.00015684890284799134,4657.983819511137,122255.3276723831,14.828217029571533
18000,4.002588923215866,3.9052533467610675,49.662660192629,0.0001487275481655314,4791.875231225131,122367.81874402778,14.828217029571533
18500,3.98496107006073,3.8947245279947915,49.14251411102396,0.0001406655698951227,4926.543238338141,121662.15533471816,14.828217029571533
19000,3.972233088493347,3.8858861287434894,48.71008674893585,0.0001326923853211797,5061.268778848142,121610.20054533644,14.828217029571533
19500,3.955745928764343,3.8751401265462238,48.18945043926464,0.0001248370877295476,5195.1194447721355,122405.0690140275,14.828217029571533
20000,3.9423483140468596,3.866595458984375,47.77944179366383,0.00011712834024925766,5329.862307940144,121594.56623369406,14.828217029571533
20500,3.9542316417694092,3.859508260091146,47.442016499111254,0.00010959427126387784,5465.068290990137,121178.06941976785,14.828217029571533
21000,3.940346647977829,3.8518386840820313,47.079548113731775,0.00010226237177409123,5600.1802623491385,121262.38582121361,14.828217029571533
21500,3.938711307525635,3.8443028767903646,46.72609914607009,9.51593950860163e-05,5734.695427228144,121800.39339606964,14.828217029571533
22000,3.929217752456665,3.8368937174479165,46.381177400024676,8.831125919129396e-05,5869.274133103143,121742.88564803073,14.828217029571533
22500,3.9201803162097932,3.831157938639323,46.11590671981382,8.174295219514667e-05,6003.096821981162,122430.6590860254,14.828217029571533
23000,3.921808032512665,3.8254964192708334,45.855558299942615,7.547844113749266e-05,6137.779433217162,121648.96306688698,14.828217029571533
23500,3.9145774204730985,3.820240529378255,45.61517879202938,6.954058453981609e-05,6272.3098430801765,121786.59097733325,14.828217029571533
24000,3.904424413204193,3.814837646484375,45.36938990502381,6.395104899690133e-05,6406.609981249174,121995.40688024534,14.828217029571533
24500,3.9198925852775575,3.8102925618489585,45.163650094651196,5.873023011777823e-05,6539.908044413169,122912.51358876075,14.828217029571533
25000,3.906343725681305,3.804998524983724,44.92518384758718,5.3897178104356386e-05,6672.680308215175,123399.26676577817,14.828217029571533
25500,3.9047568018436434,3.8003636678059896,44.71744383131033,4.946952823930459e-05,6806.1563822191965,122748.59087858931,14.828217029571533
26000,3.8850757071971893,3.7968317667643228,44.55978482675383,4.546343653681667e-05,6939.311531075189,123044.43456196583,14.828217029571533
26500,3.8907497112751006,3.793998209635417,44.433700848234714,4.1893520791067837e-05,7072.428536687192,123079.6916192255,14.828217029571533
27000,3.8849630825519563,3.790777587890625,44.29082690004896,3.877280723746901e-05,7205.901575431199,122751.38225798187,14.828217029571533
27500,3.8852145690917967,3.78857421875,44.19334529226592,3.611268302134634e-05,7340.366384877183,121846.00615956387,14.828217029571533
28000,3.8785462889671325,3.786395772298177,44.09717724252465,3.392285464748298e-05,7474.060812397191,122548.11441223387,14.828217029571533
28500,3.8733023784160614,3.7843086242675783,44.00523588687378,3.2211312562135625e-05,7609.324667953188,121126.22350334599,14.828217029571533
29000,3.8749261784553526,3.781798807779948,43.89492930284789,3.098430199676271e-05,7743.342886785191,122252.0351545483,14.828217029571533
29500,3.8778098757266997,3.779749043782552,43.80504720710681,3.0246300179852134e-05,7877.0747520211735,122513.80754384052,14.828217029571533
30000,3.88257613158226,3.7778976440429686,43.72402158266929,2.9999999999999997e-05,8010.588232533162,122714.20037266432,14.828217029571533
