step,train_loss,val_loss,val_perplexity,lr,accumulated_time,train_tokens_per_sec,peak_vram_gb
500,9.686268208503723,7.666390991210937,2135.3609854596757,3.75e-05,222.56674818600004,73613.87149489112,12.273783683776855
1000,7.157696529388428,6.699531046549479,812.0249339697087,7.5e-05,302.3503442750007,205355.4966577745,12.273783683776855
1500,6.412247666358947,6.08810780843099,440.5869470054008,0.0001125,382.7845724830004,203694.37694648642,12.273783683776855
2000,5.919388775348663,5.6693873087565105,289.85688719920023,0.00015,463.3134066429993,203455.07507841729,12.273783683776855
2500,5.55333800983429,5.336177571614583,207.71720673284307,0.00018749999999999998,544.4430835099993,201948.2960206921,12.273783683776855
3000,5.268276076316834,5.076168823242187,160.15928051088844,0.000225,625.361317390998,202475.99600474347,12.273783683776855
3500,5.03949750995636,4.870887247721354,130.4365951430618,0.0002625,705.8592951399987,203533.06329118795,12.273783683776855
4000,4.85643011045456,4.710965983072916,111.1594862417451,0.0003,786.5199685179978,203122.52940438368,12.273783683776855
4500,4.715133902072907,4.588193766276041,98.31668677194203,0.00029975369982014784,867.5331783519978,202238.62297977836,12.273783683776855
5000,4.606032395839692,4.486249287923177,88.78780308546058,0.00029901569800323726,948.9137332089958,201325.7347383533,12.273783683776855
5500,4.520038708686829,4.407185872395833,82.03827218947784,0.00029778868743786434,1029.1398390699942,204222.80034864592,12.273783683776855
6000,4.445405255317688,4.347495524088542,77.28466276642179,0.000296077145352517,1109.206579916994,204629.2858517659,12.273783683776855
6500,4.391304688453674,4.291609700520834,73.0840172457369,0.0002938873169786536,1189.6041667619938,203787.21107123612,12.273783683776855
7000,4.3410191512107845,4.242347462972005,69.57097558948654,0.000291227192762531,1269.9835688089952,203833.3152866646,12.273783683776855
7500,4.292846009254456,4.199293009440104,66.63920109658106,0.00028810647920893213,1351.7475192549973,200381.7074716832,12.273783683776855
8000,4.252299547672272,4.161563618977865,64.1717844138245,0.0002845365634631833,1432.5916219779974,202661.65926953583,12.273783683776855
8500,4.219473030805588,4.1252087910970054,61.880728046748494,0.00028053047176069537,1514.612654577999,199753.64221395698,12.273783683776855
9000,4.190972370386124,4.093804931640625,59.96763089957517,0.0002761028218956436,1595.5347523169985,202466.32820671302,12.273783683776855
9500,4.158005849123001,4.067225646972656,58.39473005467799,0.0002712697698822217,1676.5288333259996,202286.38680620625,12.273783683776855
10000,4.1389248404502865,4.041161600748698,56.89239068102183,0.0002660489510030986,1757.3807500010007,202642.07298706903,12.273783683776855
