step,train_loss,val_loss,val_perplexity,lr,accumulated_time,train_tokens_per_sec,peak_vram_gb
500,8.338347190856934,6.778669230143229,878.8983341104627,3.75e-05,468.8160497719946,34947.6089992402,13.93343734741211
1000,6.262612938404083,5.77247314453125,321.3314498720587,7.5e-05,935.1814012760005,35131.25481376861,13.93343734741211
1500,5.510569923400879,5.132021077473959,169.35906016424278,0.0001125,1402.9784112060152,35023.738186037466,13.93343734741211
2000,4.997146372556687,4.714404296875,111.54234525505758,0.00015,1869.9342529510322,35086.829492855,13.93343734741211
2500,4.6433098156452175,4.428481038411459,83.80402508804627,0.00018749999999999998,2335.59344964099,35184.53005215462,13.93343734741211
3000,4.366493656873703,4.116545613606771,61.34695971963338,0.000225,2801.0504084690183,35199.81748957667,13.93343734741211
3500,4.078932537317276,3.8653335571289062,47.71918685331746,0.0002625,3266.6218426060223,35191.16251272983,13.93343734741211
4000,3.886310793876648,3.732701619466146,41.79186149369215,0.0002999999999999999,3732.3016011170403,35182.9764995301,13.93343734741211
4500,3.7588528504371643,3.6109934488932294,37.00279494677175,0.00029975369982014784,4197.974728197063,35183.477523676214,13.93343734741211
5000,3.667539253473282,3.53370361328125,34.250583918603255,0.00029901569800323726,4663.743571155035,35176.24729028597,13.93343734741211
5500,3.597882354259491,3.4722872416178387,32.21033106493048,0.00029778868743786434,5129.027338998072,35212.91979720885,13.93343734741211
6000,3.5275243620872496,3.4157018025716144,30.43830361322887,0.000296077145352517,5594.371718327078,35208.33328560791,13.93343734741211
6500,3.4895377507209777,3.3737757364908854,29.188527449073934,0.00029388731697865356,6059.685407440091,35210.65548540257,13.93343734741211
7000,3.447802924156189,3.335871378580729,28.102860788587787,0.000291227192762531,6525.405622980063,35179.92016087134,13.93343734741211
7500,3.400862952232361,3.3022979736328124,27.175014691503,0.0002881064792089321,6990.550307226105,35223.44886421088,13.93343734741211
8000,3.377410630941391,3.2769877115885415,26.49583925947488,0.0002845365634631833,7456.30989357314,35176.946390948564,13.93343734741211
8500,3.370215912103653,3.248126475016276,25.742066306048155,0.00028053047176069537,7921.820855533151,35195.73401884233,13.93343734741211
9000,3.336816015958786,3.227919514973958,25.227117695710046,0.0002761028218956435,8387.436951342126,35187.786993346876,13.93343734741211
9500,3.3137043912410737,3.2036722819010417,24.622786185024328,0.0002712697698822217,8852.684500009083,35215.66109685904,13.93343734741211
10000,3.2770949461460113,3.182494354248047,24.106809543259164,0.0002660489510030986,9318.404896840075,35179.906466380744,13.93343734741211
10500,3.266076737642288,3.1666295369466146,23.727377184977037,0.00026045941546018383,9783.415178238036,35233.62956781247,13.93343734741211
11000,3.258327527999878,3.147483062744141,23.277403025289537,0.00025452155886250734,10249.068634819036,35184.96377176581,13.93343734741211
11500,3.2318880939483643,3.132269032796224,22.92594028021847,0.0002482570478048533,10714.012655003025,35238.650867079545,13.93343734741211
12000,3.2208707242012022,3.1148345947265623,22.529703513513525,0.00024168874080870599,11179.41946874201,35203.61008119813,13.93343734741211
12500,3.201147091627121,3.1012341817220053,22.225364500146224,0.00023484060491398362,11644.934393824049,35195.43438293108,13.93343734741211
13000,3.1903511373996736,3.0891545613606772,21.95850555688982,0.0002277376282259087,12110.134588444052,35219.245798861266,13.93343734741211
13500,3.1731434915065764,3.077007548014323,21.69338874537085,0.00022040572873612216,12575.680576422048,35193.08601747504,13.93343734741211
14000,3.1691952953338625,3.063092041015625,21.393604902073605,0.00021287165975074227,13041.148111561051,35199.01768252692,13.93343734741211
14500,3.1567718994617464,3.051408894856771,21.145114689359918,0.00020516291227045238,13506.57721777205,35201.92394794588,13.93343734741211
15000,3.151314544916153,3.0393096923828127,20.89081716623389,0.00019730761467882027,13971.85264741708,35213.55084771998,13.93343734741211
15500,3.1334045989513397,3.0289377848307293,20.675259347192757,0.00018933443010487726,14437.735097418103,35167.66944100173,13.93343734741211
16000,3.1234550507068635,3.018623860677083,20.463112205820206,0.00018127245183446856,14903.104333312105,35206.452718184824,13.93343734741211
16500,3.107752418756485,3.00786870320638,20.244207499118893,0.0001731510971520086,15368.6597039201,35192.37674909258,13.93343734741211
