Step,Train Loss,val_loss,val_perplexity,lr,accumulated_time,Tokens/Sec,peak_vram_gb,run_id,model,seq_len
500,9.494995960712432,7.763369750976563,2352.819678282182,3.75e-05,303.00964184699114,54070.88665605342,14.579439163208008,gdn2_tiny_256,GDN2,256
1000,7.182123609542847,6.639954630533854,765.0602818560731,7.5e-05,421.44680351400166,138334.9598166164,14.579439163208008,gdn2_tiny_256,GDN2,256
1500,6.315450520038604,5.952713521321615,384.7960760335756,0.0001125,540.2271167190047,137935.31569261686,14.579439163208008,gdn2_tiny_256,GDN2,256
2000,5.766192608356476,5.499044291178385,244.4581897386656,0.00015,659.3561119360093,137531.58893143537,14.579439163208008,gdn2_tiny_256,GDN2,256
2500,5.376499829292297,5.151960754394532,172.76991779740823,0.0001874999999999,778.7063970690069,137276.588671259,14.579439163208008,gdn2_tiny_256,GDN2,256
3000,5.077163194179535,4.875872802734375,131.08851771143782,0.000225,897.5020126190066,137917.54791744964,14.579439163208008,gdn2_tiny_256,GDN2,256
3500,4.830061528682709,4.645853678385417,104.15224036125488,0.0002625,1016.8240882800164,137309.04285093406,14.579439163208008,gdn2_tiny_256,GDN2,256
4000,4.6161781878471375,4.448809814453125,85.5250926740385,0.0003,1135.793333449008,137716.26420531713,14.579439163208008,gdn2_tiny_256,GDN2,256
4500,4.442026107788086,4.287723795572917,72.80057078119368,0.0002997536998201,1254.9223558280064,137531.55757356732,14.579439163208008,gdn2_tiny_256,GDN2,256
5000,4.306727636575699,4.172420247395833,64.87226920337262,0.0002990156980032,1374.2380674840097,137316.3665757313,14.579439163208008,gdn2_tiny_256,GDN2,256
5500,4.208231083631516,4.084228515625,59.39609691006908,0.0002977886874378,1493.3127246770164,137594.34951337602,14.579439163208008,gdn2_tiny_256,GDN2,256
6000,4.12640539264679,4.01662851969401,55.51362686388188,0.0002960771453525,1612.1837589900097,137830.0449280194,14.579439163208008,gdn2_tiny_256,GDN2,256
6500,4.067752902269364,3.959577178955078,52.435150576165,0.0002938873169786,1731.3344456900086,137506.55118968902,14.579439163208008,gdn2_tiny_256,GDN2,256
7000,4.015798585653305,3.9106928507486978,49.93353647920874,0.0002912271927625,1849.8081233930131,138292.32212299644,14.579439163208008,gdn2_tiny_256,GDN2,256
